iter	Passed	Remaining
0	1	154
1	2	143
2	4	136
3	5	127
4	6	122
5	7	117
6	8	116
7	9	113
8	11	112
9	12	109
10	13	106
11	14	104
12	15	102
13	16	100
14	17	97
15	18	95
16	19	93
17	19	90
18	20	88
19	21	86
20	22	85
21	23	83
22	24	81
23	25	79
24	25	77
25	26	76
26	27	74
27	28	72
28	29	71
29	30	70
30	30	68
31	31	67
32	32	65
33	33	64
34	33	63
35	34	61
36	35	60
37	36	59
38	37	58
39	37	56
40	38	55
41	39	53
42	39	52
43	40	51
44	41	50
45	42	49
46	42	48
47	43	47
48	44	46
49	45	45
50	45	44
51	46	43
52	47	42
53	48	41
54	48	39
55	49	39
56	50	38
57	51	37
58	52	36
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	56	30
65	57	29
66	58	28
67	59	27
68	59	26
69	60	26
70	61	25
71	62	24
72	63	23
73	64	22
74	64	21
75	65	20
76	66	19
77	67	18
78	67	18
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	72	12
85	73	11
86	74	11
87	75	10
88	75	9
89	76	8
90	78	7
91	78	6
92	79	6
93	80	5
94	81	4
95	82	3
96	82	2
97	83	1
98	84	0
99	85	0
